court,casenum,file_date,top_ct_desc,top_ct_statute,n_ct,ojo_burg_cat
ADAIR,CF-2018-00001,1/3/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2018-00002,1/3/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2018-00005,1/4/18,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ADAIR,CF-2018-00006,1/4/18,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ADAIR,CF-2018-00010,1/4/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2018-00031,2/21/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2018-00047,3/16/18,BURGLARY IN THE FIRST DEGREE,21.1431,1,FIRST DEGREE
ADAIR,CF-2018-00065,4/9/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2018-00118,7/6/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2018-00119,7/6/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2018-00122,7/11/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2018-00128,7/12/18,BURGLARY IN THE FIRST DEGEREE,21.1431,1,FIRST DEGREE
ADAIR,CF-2018-00130,7/17/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2018-00135,7/23/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2018-00165,9/5/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2018-00166,9/5/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2018-00184,10/3/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2018-00186,10/12/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2019-00004,1/28/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2019-00068,6/25/19,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ADAIR,CF-2019-00074,7/2/19,BURGLARY IN THE SECOND DEGREE,21.1435,5,SECOND DEGREE
ADAIR,CF-2019-00095,8/19/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2019-00096,8/19/19,BURGLARY IN THE THIRD DEGREE,21.1435.B,5,THIRD DEGREE
ADAIR,CF-2019-00105,9/9/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2019-00106,9/9/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2019-00127,11/5/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2019-00128,11/5/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ADAIR,CF-2019-00134,11/13/19,BURGLARY IN THE THIRD DEGREE,21.1435.B,2,THIRD DEGREE
ADAIR,CF-2019-00135,11/15/19,BURGLARY IN THE FIRST DEGREE,21.1431,2,FIRST DEGREE
ADAIR,CF-2019-00137,11/15/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ADAIR,CF-2020-00020,2/12/20,BURGLARY IN THE FIRST DEGREE,21.1431,3,FIRST DEGREE
ADAIR,CF-2020-00027,2/26/20,BURGLARY - SECOND DEGREE,21.1435,3,SECOND DEGREE
CANADIAN,CF-2018-00099,2/8/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
CANADIAN,CF-2018-00130,2/16/18,CONSPIRACY TO COMMIT BURGLARY,21.421,2,NA
CANADIAN,CF-2018-00137,2/26/18,ATTEMPTED BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00143,2/28/18,BURGLARY IN THE FIRST DEGREE,21.1431,1,FIRST DEGREE
CANADIAN,CF-2018-00163,3/6/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00164,3/6/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00165,3/6/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00166,3/6/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00172,3/6/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00186,3/13/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00247,4/3/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00248,4/3/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
CANADIAN,CF-2018-00259,4/12/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
CANADIAN,CF-2018-00290,4/24/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00291,4/24/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00320,5/1/18,BURGLARY IN THE FIRST DEGREE,21.1431,1,FIRST DEGREE
CANADIAN,CF-2018-00341,5/14/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
CANADIAN,CF-2018-00353,5/17/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00375,5/25/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00376,5/25/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00381,5/25/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00398,6/4/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00399,6/5/18,AMENDED TO SECOND DEGREE BURGLARY,21.799,2,SECOND DEGREE
CANADIAN,CF-2018-00460,6/28/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00493,7/9/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
CANADIAN,CF-2018-00494,7/9/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
